url,descripcion,tipo,precio,anio_construccion,tipo_operacion,calle_y_altura,localidad,partido,region,superficie_total,superficie_cubierta,dormitorios,banos,cocheras,servicios,imagenes,whatsapp,logo_inmobiliaria
https://century21.com.ar/propiedad/277259_vendo-lote-500mt-barrio-privado,"510mt2 Barrio privado Los Álamos. Fray Luis Beltrán.
Seguridad 24 hs,
Cancha de futbol 5.
Cancha de pádel.
Más de 6000 mts de parquizado. 
Todo el perímetro del barrio está cerrado. Con vigilancia 24/7.
Todos los servicios, agua, luz, cloaca y gas.
A 15 minutos del centro de la ciudad.",terreno,USD 17.000,,Venta,LOS ALAMOS S/N,Fray Luis Beltrán,Fray Luis Beltrán,Mendoza,"500,0",,,,,"Agua, Cloaca, Electricidad, Gas natural, Parrilla, Quincho, Ruta, Seguridad, Seguridad 24 hs, Seguridad porteria, SUM","https://cdn.21online.lat/argentina/cache/awsTest1/rc/edKuOm7O/uploads/67/propiedades/277259/68b05eb3a64b1.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/Fm41nW6v/uploads/67/propiedades/277259/68b05eb580d71.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/Ww3M22Pm/uploads/67/propiedades/277259/68b05eb78e736.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/3oGI16ij/uploads/67/propiedades/277259/68b05eb99df09.jpg",+5492614680626,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277322_venta-de-lote-esquina-en-san-rafael-oportunidad-de-inversion,"Se ofrece en venta un excelente lote en esquina, estratégicamente ubicado en la ciudad de San Rafael, sobre la intersección de las calles Chubut y Ortiz de Rosas, una zona con gran proyección y fácil acceso.

Características del lote:

Superficie total según mensura: 307,25 m²

Frente: 10,97 m

Fondo: 19,72 m

Ubicado sobre asfalto

 Servicios disponibles: luz y agua.

Este lote representa una gran oportunidad tanto para quienes buscan construir su vivienda familiar en un entorno urbano, como para quienes desean invertir en un proyecto comercial o de desarrollo inmobiliario gracias a su ubicación en esquina y su buena superficie.

 Documentación al día y listo para escriturar.
 Financiación propia disponible: entrega inicial + cómodas cuotas.

Una opción ideal para quienes buscan seguridad jurídica, buena ubicación y flexibilidad en la forma de pago.

 No dejes pasar esta oportunidad de invertir en San Rafael.",terreno,USD 15.000,,Venta,chubut y ortiz de rosas,San Rafael,San Rafael,Mendoza,"307,2",,,,,"Agua, Electricidad","https://cdn.21online.lat/argentina/cache/awsTest1/rc/CUls73IM/uploads/147/propiedades/277322/68b073541b8c1.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/yk56N6zL/uploads/147/propiedades/277322/68b0735888e97.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/g0yHueNM/uploads/147/propiedades/277322/68b0735ccda44.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/39PfdWRQ/uploads/147/propiedades/277322/68b073642a773.jpg",+5492604684812,https://cdn.21online.lat/argentina/cache/awsTest1/rc/26B6GIca/uploads/147/logos/logoTBAr.png
https://century21.com.ar/propiedad/277292_vendo-casa-en-contruccion,"Hermosa casa en construcción en Barrio Privado los Álamos.   
Fray Luis Beltrán.
El barrio cuenta con todos los servicios.
Seguridad 24/7
Cancha de Pádel y Futbol 5.
Dos Quinchos totalmente equipados.",casa,USD 35.000,,Venta,CARRIL LOS ALAMOS S/N,Fray Luis Beltrán,Fray Luis Beltrán,Mendoza,"500,0","132,0",2,2,2,"Acepta Mascotas, Agua, Cloaca, Electricidad, Gas natural, Cocina, Comedor, Lavadero, Living comedor, Patio, Suite, Toilette, Vestidor, Cochera, En construccion, Parrilla, Quincho, Seguridad, Seguridad 24 hs, SUM","https://cdn.21online.lat/argentina/cache/awsTest1/rc/CLWlYely/uploads/67/propiedades/277292/68b06af519adc.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/b07Z5l6Q/uploads/67/propiedades/277292/68b06af806d7e.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/caxE0t1K/uploads/67/propiedades/277292/68b06afc09d81.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/dTfYTodN/uploads/67/propiedades/277292/68b06afe63cf9.jpg",+5492614680626,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277280_duplex-en-venta,"Gran Oportunidad!
Dúplex a estrenar en venta. El mismo esta ubicado en la buscada calle Azcuenaga y Elpidio González en el Barrio privado Rincón Veneto. Posee cochera techada, 2 dormitorios en planta alta con un baño completo. En planta Baja podes encontrar cocina integrada con un amplio living comedor, baño toilette y patio.
Imperdible propiedad en zona de crecimiento ideal tanto para inversión como para establecer tu hogar.

GMP",casa-duplex,USD 85.000,2025,Venta,Azcuenaga,Guaymallén,Guaymallén,Mendoza,"70,0","90,0",2,1,1,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Teléfono, Cocina, Living comedor, Patio, Toilette, Centro de deportes, Cochera, Gimnasio, Luminoso, Seguridad, Seguridad 24 hs, Seguridad diurna, Seguridad porteria","https://cdn.21online.lat/argentina/cache/awsTest1/rc/mlMYLauJ/uploads/67/propiedades/277280/68b064edcfbe9.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/AzL77Xg1/uploads/67/propiedades/277280/68b064efb770f.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/G5u1mW1E/uploads/67/propiedades/277280/68b064ea0ce18.jpg",+5492615433156,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277646_venta-de-finca-en-zona-este,"Century 21 López Vende finca en Montecaseros, San Martín.  
La misma cuenta con una construcción apta para vivienda de 70 metros cuadrados aproximados, un galpón de 80 metros cuadrados aprox. 
En total son 11,5 hectáreas, tiene derecho a riego. 
Cultivo con labores culturales no realizadas, sin buena estructura sin alambres tensos.

Expresión vegetativa acorde a la edad de las plantas. Se puede suponer buenos rendimientos en frutales y buena calidad de producto al momento de recolección de frutos de acuerdo con lo observado en terreno.
Buen estado de sistemas de riego, a efectos de un mayor aprovechamiento del recurso hídrico. 
Callejones y accesos en muy buen estado. 
En la zona por su ubicación y el desarrollo de rural del Departamento de San Martín, se observan importantes emprendimientos y desarrollos rurales e industriales a efectos de procesar los productos cultivados en la zona y aledañas.  
La propiedad se encuentra cercana a la zona rural  Distrito de Montecaseros que se encuentra en el sector noreste del  Departamento de san Martín cercano a la zona urbana más poblada del Distrito de Montecaseros en una zona con buena conectividad de vías de comunicación que componen la red  de caminos sub urbanos y rurales, de la  zona  vitivinícola de la región.
Haciendo una breve descripción de la zona, el inmueble, se encuentra en una zona de relevante importancia respecto de la valoración de producción vitivinícola en la zona este de la Provincia .
Desde el punto de vista de las comunicaciones el mismo se encuentra beneficiado con un rápido acceso desde y hacia el mismo por vías terrestres en buen estado, con servicios públicos que se desplazan por la zona, también con acceso fácil y rápido a diverso centros de atención de servicios tanto público  como privados y sumado a ello la actividad comercial y reposición y abastecimientos de insumos  propios de la actividad agrícola que en la zona se desarrolla. En este punto hay que realizar hincapié en respecto de una importante vía de comunicación que es el corredor bioceánico Ruta Internacional N° 7 la más importante de la infraestructura vial existente en la zona. Y que  se encuentra con buen acceso a este inmueble.
MDM",campo,USD 145.000,,Venta,Santa Marina s/n,General San Martín,General San Martín,Mendoza,"111.500,0","70,0",2,1,,Agua,"https://cdn.21online.lat/argentina/cache/awsTest1/rc/VStEPOL1/uploads/67/propiedades/277646/68b11f59d5d6e.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/5y8lO8ex/uploads/67/propiedades/277646/68b11f5d57257.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/m79Nt0Bx/uploads/67/propiedades/277646/68b11f5b8fffc.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/lC3WmZbp/uploads/67/propiedades/277646/68b11f5f29c27.jpg",+5492614603893,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277201_casa-en-venta-el-nihuil-san-rafael,"Se ofrece a la venta una cómoda casa ubicada en el distrito de El Nihuil, San Rafael, Mendoza, en pleno corazón del pueblo, ideal tanto para vivienda permanente como para casa de fin de semana.

La propiedad se encuentra edificada sobre un terreno de 200 m² y está construida en material de excelente solidez.
Cuenta con:

Tres habitaciones bien distribuidas y luminosas.

Cocina comedor integrada, equipada con alacena, bajo mesada y barra desayunador, brindando un espacio moderno y funcional.

Baño completo equipado con todos sus accesorios.

Cochera cubierta y tinglado adicional para resguardo de vehículo.

Terraza amplia.

Servicios de luz y agua potable en funcionamiento.

El terreno permite tanto la comodidad de los espacios actuales como la posibilidad de futuras ampliaciones o mejoras",oficinas,USD 60.000,,Venta,Calle espejo el nihuil,San Rafael,San Rafael,Mendoza,"200,0","160,0",3,1,2,"Agua, Electricidad, Internet, Pavimento, Cochera, Luminoso, Ruta","https://cdn.21online.lat/argentina/cache/awsTest1/rc/JTjYHDfe/uploads/147/propiedades/277201/68af8578515b3.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/WB14y9k0/uploads/147/propiedades/277201/68af85540761c.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/A9CgVeUg/uploads/147/propiedades/277201/68af8557d164c.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/wLGdWO1i/uploads/147/propiedades/277201/68af85714419e.jpg",+5492604684812,https://cdn.21online.lat/argentina/cache/awsTest1/rc/26B6GIca/uploads/147/logos/logoTBAr.png
https://century21.com.ar/propiedad/277107_venta-de-departamento-guaymallen,"Venta de departamento. Apto crédito.
Calle Bandera de los Andes al 1070.
Muy buenas condiciones.
Características generales:
Living comedor
Cocina
Lavandería
Dos dormitorios
Baño completo
Terraza
Cochera
Se permiten mascotas
Expensas 45.000

En cumplimiento de las leyes provinciales vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del Martillero y Corredor Inmobiliario colegiado Agustina Tatiana López Matricula nº 2006 (C.C.P.I.M)
GCH",departamento,USD 75.000,,Venta,Bandera de los Andes 1070,Guaymallén,Guaymallén,Mendoza,"96,0","56,0",2,1,1,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Cocina, Lavadero, Living comedor, Apto credito, Calefacción, Cochera subterranea, Luminoso, Parrilla, Portón automático","https://cdn.21online.lat/argentina/cache/awsTest1/rc/SaS7JB9V/uploads/67/propiedades/277107/68af4cfc8746d.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/L7mO3eeM/uploads/67/propiedades/277107/68af4cf87f9b5.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/r0inS626/uploads/67/propiedades/277107/68af4cfa6f1ef.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/vFS0HtNo/uploads/67/propiedades/277107/68af4d08aa5ba.jpg",+542616093427,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277035_venta-de-departamento-en-pozo-en-gauymallen,"Century21Lopez tiene a la venta DEPARTAMENTO EN POZO en Villa Nueva, Guaymallén
Esta distruibuido de la siguiente manera:
PLANTA BAJA:
-Cocina 
-Living-comedor
-2 dormitorios con placard
-1 baño
-Patio con depósito
-Cochera
 superficie totales 71m2

SE ENTREGA EN DICIEMBRE DEL 2026

En cumplimiento de las leyes provinciales vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del Martillero y Corredor Inmobiliario colegiado Agustina Tatiana López Matricula n° 2006 (C.C.P.I.M) LM Y MG",departamento,USD 60.400,,Venta,lopez gomara,Guaymallén,Guaymallén,Mendoza,"71,0","71,0",2,1,1,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Cocina, Comedor, Living, Living comedor, Patio, Cochera, En construccion, Luminoso","https://cdn.21online.lat/argentina/cache/awsTest1/rc/gXWUN17K/uploads/67/propiedades/277035/68af28522016e.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/QXe15tzb/uploads/67/propiedades/277035/68af2853e3ab0.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/l0idqkWN/uploads/67/propiedades/277035/68af2855b8538.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/1LhLMy5x/uploads/67/propiedades/277035/68af2858503ad.jpg",+5492615615938,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277143_venta-de-hotel-limbo-ciudad-de-mendoza,"Venta de HOTEL LIMBO. Ciudad de Mendoza.
OPORTUNIDAD.
560m2 y de terreno 400m2.
12 habitaciones con baños completos en suites.
Recepción, oficina, depósito, dos baños al público.
Cocina equipada, lavandería, estacionamiento para seis autos.
Aires acondicionados, sommier de 2 1/2, ropa de cama, cafelacción de tiro balanceado. Espacio para dejar las motos.
Se reciben permutas.

En cumplimiento de las leyes provinciales vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del Martillero y Corredor Inmobiliario colegiado Agustina Tatiana López Matricula nº 2006 (C.C.P.I.M)

GCH",hotel,USD 500.000,,Venta,La Plata 232,Ciudad de Mendoza,Ciudad de Mendoza,Mendoza,"400,0","560,0",10,,,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Cocina, Hall, Oficina, Patio, Calefacción, Cochera, Luminoso, Portón automático","https://cdn.21online.lat/argentina/cache/awsTest1/rc/98vmIjyH/uploads/67/propiedades/277143/68af5e320a8b8.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/HyGSfuc7/uploads/67/propiedades/277143/68af5e34dbbc5.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/d3aBna2r/uploads/67/propiedades/277143/68af5e4c4131f.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/My8WFus7/uploads/67/propiedades/277143/68af5e3716108.jpg",+542616093427,https://cdn.21online.lat/argentina/cache/awsTest1/rc/vpKzEPbB/uploads/67/logos/logoTBAr.png
https://century21.com.ar/propiedad/277198_propiedad-en-venta-zona-av-moreno-san-rafael-mendoza,"Propiedad en Venta – Zona Av. Moreno, San Rafael MENDOZA

 OPORTUNIDAD APTA CREDITO HIPOTECARIO

Ubicada a tan solo 10 minutos del centro de la ciudad de San Rafael y a metros de la Av. Moreno, se ofrece esta cómoda y funcional vivienda, ideal para quienes buscan tranquilidad y seguridad sin alejarse de los principales accesos.

La propiedad cuenta con un terreno de 162 m² y una superficie cubierta de 115 m², distribuida en dos plantas:

 Planta baja:

Amplio comedor–cocina integrado.

Lavadero independiente.

Baño de servicio.

Cochera cubierta.

Patio con churrasquera, ideal para reuniones familiares.

 Planta alta:

2 dormitorios luminosos.

Baño principal completo.

Servicios: electricidad, agua y gas natural. Además, posee rejas en todas sus aberturas, brindando mayor seguridad.

Ubicada en una calle cul-de-sac, la zona se destaca por su tranquilidad, seguridad y ambiente familiar.",casa,USD 75.000,2000,Venta,calle de los niños 2244,San Rafael,San Rafael,Mendoza,"162,0","115,0",2,2,1,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Cocina, Comedor, Lavadero, Patio, Apto credito, Cochera, Luminoso, Parrilla, Perimetral, Tenemos Llaves","https://cdn.21online.lat/argentina/cache/awsTest1/rc/efV5x2By/uploads/147/propiedades/277198/68af7df470002.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/GDcimguS/uploads/147/propiedades/277198/68af7ddbe6473.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/GV1RKxxy/uploads/147/propiedades/277198/68af7e13bfdd8.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/MtC4Bg2c/uploads/147/propiedades/277198/68af7dfc79460.jpg",+5492604684812,https://cdn.21online.lat/argentina/cache/awsTest1/rc/26B6GIca/uploads/147/logos/logoTBAr.png
