url,descripcion,tipo,precio,anio_construccion,tipo_operacion,calle_y_altura,localidad,partido,region,superficie_total,superficie_cubierta,dormitorios,banos,cocheras,servicios,imagenes,whatsapp,logo_inmobiliaria,nombre_inmobiliaria
https://century21.com.ar/propiedad/277257_venta-de-lote-en-tandil,"Esta es una excelente oportunidad para quienes buscan invertir en un espacio con gran proyección. Se trata de un lote de 153 m², con medidas que lo hacen ideal para desarrollar un proyecto de vivienda propia o una inversión a futuro.

La propiedad se encuentra en una zona con todos los servicios disponibles (agua, luz, gas y cloacas), lo que asegura comodidad y practicidad a la hora de construir. Además, está rodeada de un entorno natural en constante crecimiento, donde conviven la tranquilidad del paisaje con el avance urbanístico de la ciudad.

A solo 10 minutos del centro de Tandil, la ubicación combina lo mejor de dos mundos: la calma de un barrio en expansión y la cercanía a las principales zonas comerciales, educativas y recreativas de la ciudad.

Una alternativa perfecta para quienes valoran la naturaleza, sin resignar la conexión con la ciudad.

Consulte financiación.

La intermediación y la conclusión de las operaciones es llevada a cabo por la Martillera Mónica Gorri, Matrícula 1878 T° VII F° 169 CMCPDJA.

Las imágenes presentadas tienen carácter meramente ilustrativo y no deben ser consideradas como epresentaciones exactas de la realidad.",terreno,USD 21.000,,Venta,Lester y Muñiz,Tandil,Tandil,Buenos Aires (fuera de GBA),153,,,,,"Agua, Cloaca, Electricidad, Gas natural, Internet, Teléfono","https://cdn.21online.lat/argentina/cache/awsTest1/rc/G9cUPEcM/uploads/72/propiedades/277257/68b0641a9ac91.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/dIhNwQ9y/uploads/72/propiedades/277257/68b0640c0b148.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/DCny9u06/uploads/72/propiedades/277257/68b064119657c.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/uvKGhJQT/uploads/72/propiedades/277257/68b0796197a84.jpg",5492494372261,https://cdn.21online.lat/argentina/cache/awsTest1/rc/OmrvsKny/uploads/72/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/276850_oportunidad-venta-de-fondo-de-comercio-ferreteria-en-importante-avenida-de-tandil,"Se vende reconocido fondo de comercio de ferretería en Avenida Avellaneda 988, Tandil, una de las zonas más transitadas y seguras de la ciudad.

El local cuenta con:
- Amplio surtido de mercadería del rubro, listo para continuar con la actividad sin interrupciones.
- Planta baja de doble altura, con excelente visibilidad y espacio para exhibición.
- Entrepiso, ideal para exhibición adicional.
- Segunda planta destinada a depósito, con oficina privada y baño, lo que brinda comodidad y funcionalidad en la gestión del negocio.

Ubicación estratégica sobre avenida, con gran flujo peatonal y vehicular.

¡Listo para seguir trabajando, con clientela fidelizada!

La intermediación y la conclusión de las operaciones es llevada a cabo por la Martillera Mónica Gorri, Matrícula 1878 T° VII F° 169 CMCPDJA.

Las imágenes presentadas tienen carácter meramente ilustrativo y no deben ser consideradas como epresentaciones exactas de la realidad.",fondo-de-comercio,USD 45.000,,Venta,Av. Avellaneda 988,Tandil,Tandil,Buenos Aires (fuera de GBA),100,100,,,,,"https://cdn.21online.lat/argentina/cache/awsTest1/rc/hXVvCzN2/uploads/72/propiedades/276850/68ae23c4e7be7.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/17j632HZ/uploads/72/propiedades/276850/68ae23c6a6199.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/atS7D5Yk/uploads/72/propiedades/276850/68ae23d680bf0.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/mkGGsrmc/uploads/72/propiedades/276850/68ae23e2b76b1.jpg",5491151613163,https://cdn.21online.lat/argentina/cache/awsTest1/rc/OmrvsKny/uploads/72/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/276579_espectacular-departamento-de-2-ambientes-en-saavedra-sobre-av-donado-a-mts-del-dot-shopping-center,"Hermoso y muy moderno departamento de 2 ambientes ubicado en el barrio de Saavedra. A minutos del Buenos Aires Dot Shopping Center y de los principales accesos tanto a CABA como a Pcia Bs As.
Estilo moderno, dormitorio con vestidor, baño completo, amplio balcón, muy luminoso. Pisos de cemento alisado y techos de hormigón visto. Excelente calidad constructiva.",departamento,USD 165.000,,Venta,Donado 4432,Saavedra,Saavedra,Buenos Aires (fuera de GBA),53,53,1,1,1,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Balcón, Cocina, Comedor, Living, Living comedor, Vestidor, Aire Acondicionado individual, Calefacción por aire, Cochera, Espacio guarda coches, Luminoso, Parrilla, Portón automático, Ascensor","https://cdn.21online.lat/argentina/cache/awsTest1/rc/fNVGVJDW/uploads/135/propiedades/276579/68b0798558bde.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/ArLyUa0G/uploads/135/propiedades/276579/68b079875ec5d.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/qVBcYnDn/uploads/135/propiedades/276579/68b0798917271.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/IBvjNuKB/uploads/135/propiedades/276579/68b0798ae547f.jpg",5491133420596,https://cdn.21online.lat/argentina/cache/awsTest1/rc/5pcSIsHW/uploads/135/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/276313_venta-casa-en-campo-de-5-hectareas-en-las-flores-apto-para-explotacion-ganadera-y-agricola,"VENTA CASA EN CAMPO DE 5 HECTÁREAS EN LAS FLORES APTO PARA EXPLOTACIÓN GANADERA Y AGRÍCOLA

Vivienda Principal: Superficie cubierta: 45 m2.
Capacidad para 6-8 personas. 
Living-comedor, cocina americana con barra, artefacto cocina a gas, habitación, entre piso, un baño, estufa a leña, termotanque eléctrico. Completamente amueblada con muebles de algarrobo. 
Galería con parrilla tipo quincho exterior con espacio guarda coche. 
Galpón con puerta de seguridad para maquinaria.
Gas integrado con garrafa (calefacción incluida).
Piscina de hormigón de 6 x 4, profundidad 1.60 a 2.40 metros. Abastecida por con pozo de 12 metros.
Cancha de fútbol.

Vivienda Casero: Superficie cubierta: 60 m2.
Estilo rústico. Living comedor, dos habitaciones, baño.
Ambas propiedades cuentan con servicio de energía eléctrica, y agua de pozo de 24 metros apta para consumo. 
Alambrado en excelente estado, quinta subdividida en 1.5 hectáreas, y 3.5 hectáreas aptos para siembra o pastoreo. 
Usada por más de 25 años para la cría de ovejas, vacas, caballos y cerdos. Frutales (higueras, mandarina, ciruela, peras). 
Arboleda de más de 60 árboles, sin contar arbustos menores. Alta disponibilidad de leña para autoabastecimiento.
Chiqueros y gallineros.
A 600m de Ruta Las Flores - Saladillo, por camino de ripio.
A 7 k del asfalto de la ciudad. 
Desde Buenos Aires, en auto, un promedio de 2 horas 45 minutos. 
Ubicación: 36°01'15.7""S 59°09'18.7""W",campo,USD 169.900,1980,Venta,Ruta 30,Las Flores,Las Flores,Buenos Aires (fuera de GBA),"5,0 Hectáreas",,2,1,1,"Pileta, Agua, Electricidad, Cocina, Galería, Jardín, Lavadero, Living comedor, Patio, Luminoso, Parrilla, Quincho, Ruta","https://cdn.21online.lat/argentina/cache/awsTest1/rc/SpjCF6ln/uploads/18/propiedades/276313/014991392_2.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/LMG7MCg2/uploads/18/propiedades/276313/014991392_5.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/nIdzQaTi/uploads/18/propiedades/276313/014991392_3.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/izO7Wpsk/uploads/18/propiedades/276313/014991392_4.jpg",5491166897968,https://cdn.21online.lat/argentina/cache/awsTest1/rc/CVgCiBpH/uploads/18/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/276552_casa-en-venta-en-gonnet-con-4-dormitorios-con-galeria-y-parrilla,"Casa en venta en Gonnet – una propiedad ideal para familias que buscan comodidad, espacios amplios y una excelente ubicación en Manuel B. Gonnet, La Plata.

Situada en calle 16 bis entre 488 y 489, esta casa se encuentra en una zona residencial muy valorada, con rápido acceso a avenidas principales, centros educativos y comercios. El inmueble se desarrolla sobre un lote de 435 m², con 169 m² cubiertos.

La propiedad se organiza en dos plantas. En planta baja cuenta con hall de entrada, una amplia galería con vista al parque, dos dormitorios, un baño completo, lavadero independiente y parrilla. En planta alta se ubican otros dos dormitorios y un segundo baño completo, lo que brinda privacidad y funcionalidad para familias numerosas o con necesidades de espacio adicional.

Además, ofrece una galería techada ideal para reuniones, una parrilla integrada al espacio exterior y un lavadero separado que facilita el orden y la circulación diaria.

Se encuentra en buen estado general y lista para habitar. Su distribución con dos dormitorios en cada planta y baños completos en ambos niveles permite aprovechar al máximo cada ambiente. Una excelente opción para quienes buscan una casa en venta en Gonnet con buena ubicación y espacios cómodos.

No dejes pasar esta oportunidad. Contactanos hoy mismo y coordiná tu visita a esta casa en venta en Gonnet. Puede ser el hogar que estás buscando.",casa,USD 190.000,1987,Venta,16bis e/ 488 y 489 4379,Manuel B Gonnet,Nueve de Julio,Buenos Aires (fuera de GBA),435,169,4,2,2,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Balcón, Cocina, Comedor, Comedor diario, Galería, Lavadero, Living, Patio, Aire Acondicionado individual, Apto credito, Calefacción individual, Cochera, Luminoso, Parrilla, Terraza","https://cdn.21online.lat/argentina/cache/awsTest1/rc/T2awc3z9/uploads/194/propiedades/276552/68af8fc1e434f.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/rCOUcKed/uploads/194/propiedades/276552/68af8fe1b4056.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/YxaoAOJc/uploads/194/propiedades/276552/68af8fd8e4e5a.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/v96FU5E9/uploads/194/propiedades/276552/68af8fc5017e1.jpg",5492214765542,https://cdn.21online.lat/argentina/cache/awsTest1/rc/JxueelXi/uploads/194/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/275671_en-venta-departamento-moderno-de-2-dormitorios-excelente-ubicacion-en-tandil,"En la calle Montevideo al 1700 de la ciudad de Tandil, se encuentra este departamento en segundo piso por escalera, ubicado dentro de un complejo de solo seis unidades con una antigüedad de siete años y en excelente estado de conservación. 

La propiedad se destaca por su luminosidad y ventilación natural en todos los ambientes. 
La cocina-comedor y el living integrados cuentan con una gran ventana que enmarca una impactante vista a las sierras, generando un espacio cálido y confortable. Posee dos habitaciones con amplios placares modernos, una de ellas con balcón propio y espacio para lavadero, además de un baño completo de diseño actual en perfecto estado. 
Todo el departamento cuenta con aberturas de calidad, mobiliario bajo mesada y placares modernos, además de calefacción por radiadores. 

El living dispone de una puerta balcón con salida a una pequeña terraza. Incluye cochera asignada por escritura. La ubicación es muy práctica, rodeada de comercios y con fácil acceso a distintos puntos de la ciudad.

La intermediación y la conclusión de las operaciones es llevada a cabo por la Martillera Mónica Gorri, Matrícula 1878 T° VII F° 169 CMCPDJA.

Las imágenes presentadas tienen carácter meramente ilustrativo y no deben ser consideradas como epresentaciones exactas de la realidad.",oficinas,USD 77.900,7,Venta,Montevideo 1741,Tandil,Tandil,Buenos Aires (fuera de GBA),63,63,2,1,1,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Balcón, Cocina, Comedor, Lavadero, Calefacción por radiadores, Espacio guarda coches, Luminoso","https://cdn.21online.lat/argentina/cache/awsTest1/rc/Gh4ANHWE/uploads/72/propiedades/275671/68a76fc8152e7.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/x0cTJlDd/uploads/72/propiedades/275671/68a76fbecae14.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/2VvF26wh/uploads/72/propiedades/275671/68a76fe5ecff7.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/7NNrU2jm/uploads/72/propiedades/275671/68a76fd588a1a.jpg",5492494372261,https://cdn.21online.lat/argentina/cache/awsTest1/rc/OmrvsKny/uploads/72/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/274500_campo-en-venta-magdalena,"???? Campo en Venta –  Magdalena, camino al balneario. 

Superficie: 5 hectáreas (50.000 m²)
Ubicación: Partido de Magdalena, Provincia de Buenos Aires. A 300 metros de Av. España, que conecta la ciudad de Magdalena con el Balneario Magdalena sobre el Río de la Plata.

Características principales:

Acceso por camino de tierra firme y transitable todo el año, a solo 300 m del asfalto.

Alambrados perimetrales en buen estado.

Construcción de aprox. 300 m² a terminar, habitacional, galpón, deposito. Ideal para vivienda, salón de usos múltiples o desarrollo turístico.

Servicios de electricidad y agua mediante perforación.

Potencial de uso:

Desarrollo turístico: complejo de cabañas, parador, restaurante o casa de campo.

Residencia permanente o de fin de semana.

Proyecto agropecuario menor (siembra y ganadería liviana).

Inversión recreativa o gastronómica en un entorno natural con proyección turísti",campo,USD 120.000,,Venta,avenida españa,Magdalena,Magdalena,Buenos Aires (fuera de GBA),"5,0 Hectáreas","5,0 Hectáreas",,,,Electricidad,"https://cdn.21online.lat/argentina/cache/awsTest1/rc/AfXxuslo/uploads/11/propiedades/274500/68a33d13d4739.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/xYl3yskQ/uploads/11/propiedades/274500/68a33ceaec5cb.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/HzT3sNN4/uploads/11/propiedades/274500/68a33ced1a136.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/gozcz4xU/uploads/11/propiedades/274500/68a33cf3758d4.jpg",5492216562113,https://cdn.21online.lat/argentina/cache/awsTest1/rc/GiBz7Wsj/uploads/11/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/274390_venta-lote-el-coyunco-sierra-de-los-padres-general-pueyrredon-pba,"Venta lote Valle Verde S/n Esquina El Recado, El Coyunco, Sierra de los Padres, PBA.
Lote 300 metros cuadrados, cercano al centro de Sierras de los Padres
A pocas cuadras de la ruta provincial 226.

Buenos Accesos y comodidad.

Distancias : 
A centro comercial de Sierras de los Padres  6 KM
A Casino Central de Mar del Plata está a 24 km del alojamiento, y Torreón del Monje está a 25 km. El aeropuerto (Aeropuerto Internacional Astor Piazzolla) está a 22 km.

Todas las medidas son aproximadas al solo efecto orientativo. Las medidas exactas serán las que surjan del título de propiedad. Las fotografías y videos no son contractuales. No se encuentran incluidos en el precio publicado los equipos de aire acondicionado, electrodomésticos ni artefactos de iluminación Y/O NINGÚN OTRO ACCESORIO que pudieran estar mencionados en la descripción o ilustrados en fotografías con excepción de los que queden expresamente identificados en la reserva a conformar entre las partes. Si hubiera valores de expensas y/o impuestos detallados, los mismos son aproximados y sujetos a modificación. ""Cada oficina es de Propiedad y Operación independiente."" Todas las operaciones de intermediación inmobiliaria son realizadas a través del Sr. Esteban Koleff, Martillero y Corredor Público matriculado Col 7414.",terreno,USD 17.000,2000,Venta,Valle Verde S/n Esquina El Recado,El Coyunco,General Pueyrredón,Buenos Aires (fuera de GBA),300,,,,,Seguridad 24 hs,"https://cdn.21online.lat/argentina/cache/awsTest1/rc/V9mpRwLS/uploads/175/propiedades/274390/68a20a41df016.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/1JH7IfJo/uploads/175/propiedades/274390/68a20a203b75d.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/tgD70szR/uploads/175/propiedades/274390/68a20a2d704b8.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/kOqgGhwQ/uploads/175/propiedades/274390/68a20a4d9245b.jpg",5491130351000,https://cdn.21online.lat/argentina/cache/awsTest1/rc/tOvWvmsk/uploads/175/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/274217_venta-de-lote-general-madariaga,"Venta lote en la Victoria Country Club - General Madariaga
 Lote N54 
Dimensiones : 20 metros de frente x 30 metros aprox.
El barrio Cerrado La Victoria Golf & Country Club, nos encontramos con este hermoso terreno, rodeado de arboleda de mas de 100 años de antigüedad y de fácil acceso.
Este emprendimiento fue realizado en el predio del histórico Paraje La Victoria. Donde funciono la fabrica de sidra La Victoria con su bodega Numero 2, con una superficie total de 33 Hs. Accesos desde Ruta 74 totalmente compactados y transitables en todo momento del año. El mismo cuenta con Más de 20 especies de árboles de hojas caducas y perennes, arbustos y florales, entre ellos Olmos, Álamos, Pinos, Robinias, Fresnos, Eucaliptos, Casuarinas, Robles, Conforman un entorno soñado.
Ubicado en localidad de General Madariaga, a solo 15 minutos del balneario de Pinamar y Cariló por autovía , a 2.5km de la Ruta 74 y a tan solo 3,5 Km del centro comercial de la ciudad de General Madariaga.
El lote se encuentra en una excelente ubicación, lote interno con su fondo a una hermosa arboleda.
El Barrio cuenta con Club House, Gimnasio, Cancha de futbol, Cancha de tenis y Piscina con solárium.
NO DUDES EN CONSULTARNOS!
Mariela Nervi Matrícula Col. 1484 Teléfonos de contacto +5492254522121
Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Mariela Nervi, matrícula Col. 1484 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10.973 de la Provincia de Buenos Aires, Ley Nacional 25.028, Ley Nacional 20.266, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria.
Ley 5115: EXCEPTO que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas.
Venta sujeta a la obtención del COTI por parte del propietario.-Las medidas son aproximadas, las reales surgen del título o plano de mensura.
Las reservas se toman exclusivamente en la inmobiliaria con el matriculado Col. 1484",terreno,USD 21.500,,Venta,S/N S/N,General Juan Madariaga,General Juan Madariaga,Buenos Aires (fuera de GBA),659,,,,,"Electricidad, Internet, Gimnasio, Seguridad 24 hs","https://cdn.21online.lat/argentina/cache/awsTest1/rc/G25NDOpn/uploads/184/propiedades/274217/68a63350e23e2.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/V1iZRkTm/uploads/184/propiedades/274217/68a63331466e0.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/0TmOZ2Om/uploads/184/propiedades/274217/68a63335654e5.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/5vqADkpO/uploads/184/propiedades/274217/68a6334110dc5.jpg",,https://cdn.21online.lat/argentina/cache/awsTest1/rc/EepVCJzW/uploads/184/logos/logoTBAr.png,century21
https://century21.com.ar/propiedad/274911_casa-en-venta-en-gral-belgrano-206-esq-231,"¡Oportunidad! Esta propiedad se encuentra sobre un lote en esquina de 480 m², lo que le otorga una excelente iluminación, ventilación y potencial de desarrollo.

La casa cuenta con 97 m² construidos, íntegramente con techo de loza, lo que brinda posibilidad de ampliación en planta alta. Al ingresar, nos encontramos con una cómoda y luminosa cocina-comedor de generosas dimensiones, continuando con un estudio o espacio de trabajo.

Dispone de un baño completo, y dos habitaciones amplias, perfectas para una familia o quienes buscan comodidad y funcionalidad. También cuenta con una habitación pequeña o depósito que da al frente.

Además, cuenta con un quincho/garage de 55 m², ideal para reuniones, guardado de vehículos o reconvertirlo en un segundo espacio habitacional.

La propiedad se completa con una pileta, ideal para disfrutar del verano, y un espacio verde muy bien aprovechado, que aporta aire libre y múltiples posibilidades de uso.

Superficies:

Lote: 480 m²

Casa: 97 m²

Quincho/Garage: 55 m²",casa,USD 70.000,,Venta,206 y 231,General Belgrano,General Belgrano,Buenos Aires (fuera de GBA),480,152,2,1,,,"https://cdn.21online.lat/argentina/cache/awsTest1/rc/lN6mSryl/uploads/41/propiedades/274911/68a4a49fb4b82.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/USJSlxpH/uploads/41/propiedades/274911/68a4a4a726f8f.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/NXZl6r8l/uploads/41/propiedades/274911/68a4a4b0d95b6.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/MCVbM7Xf/uploads/41/propiedades/274911/68a4a4b831912.jpg",5492214942598,https://cdn.21online.lat/argentina/cache/awsTest1/rc/UYJgMhZf/uploads/41/logos/logoTBAr.png,century21
