url,descripcion,tipo,precio,anio_construccion,tipo_operacion,calle_y_altura,localidad,partido,region,superficie_total,superficie_cubierta,dormitorios,banos,cocheras,servicios,imagenes,whatsapp,logo_inmobiliaria
https://century21.com.ar/propiedad/271932_venta-departamento-1-dormitorio-3-de-febrero-2682-barrio-lourdes-rosario,"Departamento con excelente ubicación en el corazón de Barrio Lourdes, una zona tranquila, residencial y con cercanía a universidades, comercios y transporte.

Características:
- 1 dormitorio
- Living comedor
- Cocina integrada
- Superficie cubierta: 31 m²
- Orientación noreste
- Contrafrente sin balcón - Piso 5
- 10 años de antigüedad
- Muy luminoso

Apto Crédito

¡Ideal para primera vivienda o inversión por su ubicación estratégica y bajo mantenimiento!

#AR: Octavio Rocca",departamento,USD 47.000,2015,Venta,3 De Febrero 2682,Distrito Centro,Rosario,Santa Fe,"31,0","31,0",1,1,,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Comedor, Living, Apto credito, Luminoso, Ascensor, Terraza","https://cdn.21online.lat/argentina/cache/awsTest1/rc/IOTXme8V/uploads/68/propiedades/271932/689398f763108.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/lZ8uxcHE/uploads/68/propiedades/271932/68939900621be.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/5vzq0cNl/uploads/68/propiedades/271932/6893990c81eed.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/BCcnIuZM/uploads/68/propiedades/271932/689398fbb2aa5.jpg",+5493416750835,https://cdn.21online.lat/argentina/cache/awsTest1/rc/uSZQplYH/uploads/68/logos/logoTBAr.png
https://century21.com.ar/propiedad/271780_venta-de-lotes-barrio-privado-la-finca-i,"Oportunidad exclusiva: venta de lotes en el prestigioso Barrio Privado La Finca I. Para información sobre precios y disponibilidad, no dudes en consultarme!
Con una ubicación privilegiada, La Finca es un Barrio Privado Residencial
que se encuentra a 15´del centro de Rosario, a sólo 4´del corazón de Funes y a 7´de Fisherton.
Posee 5 canchas de tenis de polvo de ladrillo, cancha de fútbol 9 de césped sintético iluminada, cancha de pádel de nueva generación, área de putting green y approach para golfistas, lago, gimnasio, restaurante, club house, club de vinos, pileta y proyección para un paseo comercial en el ingreso son parte de la propuesta que La Finca tiene para vos.
LOTES DISPONIBLES DESDE USD 117.000. 

Sebastian Soria Matrícula CI. MAT COCIR  1295 Teléfonos de contacto 5493412852121
Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Sebastian Soria, Matrícula CI. MAT COCIR  1295 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10.973 de la Provincia de Buenos Aires, Ley Nacional 25.028, Ley Nacional 20.266, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria.
Ley 5115: EXCEPTO que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas.
Venta sujeta a la obtención del COTI por parte del propietario. Las medidas son aproximadas, las reales surgen del título o plano de mensura.
 Las reservas se toman exclusivamente en la inmobiliaria con el matriculado CI. MAT COCIR  1295

#AR: MARIA SOL VAZQUEZ",terreno,USD 117.000,,Venta,Arturo Illia,Zona 1,Funes,Santa Fe,"800,0",,,,,"Agua, Cloaca, Electricidad, Gas natural, Internet, Pavimento","https://cdn.21online.lat/argentina/cache/awsTest1/rc/gp34LYsL/uploads/52/propiedades/271780/6893568eb5cf4.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/HbX8sp7C/uploads/52/propiedades/271780/planos/6893569bf1c1d.jpg",+5493413048992,https://cdn.21online.lat/argentina/cache/awsTest1/rc/gokZztli/uploads/52/logos/logoTBAr.png
https://century21.com.ar/propiedad/271534_excelente-casa-con-pileta-en-rafaela-barrio-belgrano,"Se vende hermosa casa ubicada en gran terreno de 430 m2 (10x43) en calle Chiarella entre Aconcagua y F. Sánchez, barrio Belgrano. Compuesta por living amplio, comedor diario, cocina, patio luz, tres dormitorios, baño completo. Lavadero y baño en el patio. Pileta grande con quincho al fondo y habitación de guardado. Cochera para dos vehículos. Todos los servicios conectados.",casa,USD 220.000,,Venta,Chiarella 63,Rafaela,Rafaela,Santa Fe,"430,0","220,0",3,2,,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Cocina, Comedor, Lavadero, Living, Patio, Piscina, Quincho","https://cdn.21online.lat/argentina/cache/awsTest1/rc/3kQ6B3pI/uploads/49/propiedades/271534/68921e89a4939.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/hdCw2YRo/uploads/49/propiedades/271534/68921e7e57af2.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/lltw6yS3/uploads/49/propiedades/271534/68921e748815c.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/rtT5DiEl/uploads/49/propiedades/271534/68921e96327d1.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/2qJk9tPx/uploads/49/propiedades/271534/planos/68921e877dc0f.jpeg",+5493492312830,https://cdn.21online.lat/argentina/cache/awsTest1/rc/ya9hN4yZ/uploads/49/logos/logoTBAr.png
https://century21.com.ar/propiedad/271809_venta-galpones-comerciales,"Galpones comerciales en Rosario. Excelente ubicación!
Ubicado a 5' de Av. Circunvalación y a 3' de la Autopista Rosario-Córdoba. 
La obra contempla la construcción de 16 unidades, diseñados para satisfacer las necesidades de almacenamiento y logística. Cada galpón estará equipado con instalaciones eficientes, garantizando funcionalidad y durabilidad. Además cuenta con persianas para un acceso seguro, práctico y todas las unidades contarán con acceso a la calle central.
CONSULTAR POR UNIDADES DISPONIBLES !

Sebastian Soria Matrícula CI. MAT COCIR  1295 Teléfonos de contacto 5493412852121
Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Sebastian Soria, Matrícula CI. MAT COCIR  1295 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10.973 de la Provincia de Buenos Aires, Ley Nacional 25.028, Ley Nacional 20.266, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria.
Ley 5115: EXCEPTO que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas.
Venta sujeta a la obtención del COTI por parte del propietario. Las medidas son aproximadas, las reales surgen del título o plano de mensura.
 Las reservas se toman exclusivamente en la inmobiliaria con el matriculado CI. MAT COCIR  1295

#AR: MARIA SOL VAZQUEZ",galpon,USD 30.000,2025,Venta,Av San Jose de Calasanz 8499,Fisherton,Rosario,Santa Fe,"30,0","30,0",,,,"Agua, Cloaca, Electricidad, Pavimento","https://cdn.21online.lat/argentina/cache/awsTest1/rc/LBcGUS5f/uploads/52/propiedades/271809/68936ccfcddba.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/eg2Rtyz5/uploads/52/propiedades/271809/68936cd115ee6.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/OsXGjHju/uploads/52/propiedades/271809/68936cd28b231.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/JyDsMm7W/uploads/52/propiedades/271809/planos/68936d3b36c11.jpg",+5493413048992,https://cdn.21online.lat/argentina/cache/awsTest1/rc/gokZztli/uploads/52/logos/logoTBAr.png
https://century21.com.ar/propiedad/86314_venta-de-departamento-de-1-dormitorio-en-santa-fe,"EDIFICIO SQALA CONSTITUYENTES. DOM 19.
Semipiso exclusivo de 1 dormitorio. Compuesto de living-comedor con cocina-lavadero semi integrado, 1 dormitorios con vestidor, baño completo y gran balcón al frente con asador. Orientacion Norte.
Posibilidad de cochera.
Calidad constructiva de primer nivel. 
Entrega durante Septiembre de 2025.",departamento,USD 100.000,,Venta,CRESPO 3293,Distrito Centro,Ciudad de Santa Fe,Santa Fe,"57,0","57,0",1,1,,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono","https://cdn.21online.lat/argentina/cache/awsTest1/rc/7jb8jAxb/uploads/55/propiedades/86314/689375b6bc848.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/kDVbXxeN/uploads/55/propiedades/86314/68a5c9a797437.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/yq5GRugd/uploads/55/propiedades/86314/68a5c9ab49d81.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/59spRMY3/uploads/55/propiedades/86314/68a5c9b0f4104.jpg",,https://cdn.21online.lat/argentina/cache/awsTest1/rc/Z1Zxjs8T/uploads/55/logos/logoTBAr.png
https://century21.com.ar/propiedad/112544_departamento-a-estrenar-1-dormitorio-barrio-lourdes-opcional-venta-con-renta,"Departamento en venta de un dormitorio ubicado en barrio Lourdes (opcional renta)

VENTA departamento de un dormitorio con espacios amplios y luminosos, una cocina moderna con electrodomésticos de última generación y un dormitorio confortable con amplio armario. El baño elegante y el balcón con vistas panorámicas despejada. (orientación este) ubicado en el séptimo piso, ideal para relajarte y disfrutar de tu día a día o rentarlo con muy buena ganancia.

Su ubicación perfecta te sitúa cerca de tiendas, cafeterías, restaurantes y parques, con excelente conexión de transporte público. ¡Contáctanos para agendar una visita y descubre tu nuevo hogar!

La intermediación y la conclusión de las operaciones son llevadas a cabo por el profesional matriculado Sebastián Soria CI. MAT COCIR 1295. Cada Oficina es de Propiedad y Operación Independiente.

#AR: AGUSTIN DI MARTINO",departamento,A consultar,2,Venta,OVIDIOS LAGOS 1012,Distrito Centro,Rosario,Santa Fe,"49,0","42,0",1,1,,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Internet, Balcón, Lavadero, Living comedor, Aire Acondicionado individual, Amoblado","https://cdn.21online.lat/argentina/cache/awsTest1/rc/Ci8RqlCa/uploads/52/propiedades/112544/6834b33b8f0f7.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/3ttaE6kA/uploads/52/propiedades/112544/6834b33d3bfa8.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/54YftV9v/uploads/52/propiedades/112544/6834b3507f634.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/HarbT4zS/uploads/52/propiedades/112544/6834b34ae72ca.jpg",+5493415195001,https://cdn.21online.lat/argentina/cache/awsTest1/rc/gokZztli/uploads/52/logos/logoTBAr.png
https://century21.com.ar/propiedad/271847_venta-duplex-dos-dormitorios-con-cochera-en-puerto-norte-rosario,"VENTA -  Departamento tipo dúplex, dos dormitorios, ubicado en el moderno edificio Dock Plaza Residencial en la exclusiva zona de Puerto Norte. 

Acepta propiedades como parte de pago.

UNIDAD: Avenida Carballo 178. Departamento al frente de Puerto Norte, distribuidos en dos plantas,  se encuentra en muy excelente estado de conservación.
Antigüedad del edificio: 11 años.
Incluye una cochera con posibilidad de adquirir una segunda.

DISTRIBUCION DE AMBIENTES

Planta Alta:
Amplio living-comedor, muy luminoso, con salida a balcón terraza al frente y vista lateral al río.
Cocina semi-integrada completamente equipada, con muebles bajo mesada y alacenas.
Lavadero incorporado.
Baño de servicio.
Planta Baja:
Dormitorio principal al frente, en suite, con bañera con hidromasajes y vestidor.
Segundo dormitorio al contrafrente, con placard e interiores completos.
Baño completo con bañera.

METRAJE: 
Superficie Exclusiva 112,74 m²

DOCUMENTACION 
Próximo a escriturar, falta reglamento del edificio 
Listo para transferir cesión de venta

ZONA:
Puerto Norte es una de las zonas más modernas y exclusivas de Rosario, ubicada frente al río Paraná. Se destaca por sus torres de alta gama, espacios verdes, paseo costero y una fuerte propuesta gastronómica. Combina vida urbana y naturaleza con excelente conectividad al centro. Ideal para quienes buscan confort, seguridad y vistas privilegiadas.",departamento,USD 200.000,2014,Venta,Carballo 178,Distrito Norte,Rosario,Santa Fe,"112,7","112,7",2,2,2,"Acepta Mascotas, Agua, Cable, Cloaca, Electricidad, Internet, Pavimento, Balcón, Baulera, Cocina, Comedor, Galería, Living, Living comedor, Suite, Toilette, Vestidor, Aire Acondicionado individual, Aire Acondicionado Central, Calefacción, Calefacción central, Calefacción por radiadores, Cochera subterranea, Cochera, Hidromasaje, Luminoso, Parrilla, Seguridad 24 hs","https://cdn.21online.lat/argentina/cache/awsTest1/rc/lBtpQocP/uploads/70/propiedades/271847/68938ade145a0.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/DCAIJmfc/uploads/70/propiedades/271847/68938ae435b6f.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/2KRiTom8/uploads/70/propiedades/271847/68938af2c7313.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/sW7ySzhC/uploads/70/propiedades/271847/68938b10c0be7.jpg",+5493413558326,https://cdn.21online.lat/argentina/cache/awsTest1/rc/H1pCLsK8/uploads/70/logos/logoTBAr.png
https://century21.com.ar/propiedad/271990_venta-de-departamento-en-rafaela,"En venta, departamento ubicado en el tercer piso del Edificio Enrique, sobre calle Buenos Aires 459, en una zona estratégica de la ciudad.
La unidad cuenta con una superficie total de 52,39 metros cuadrados, de los cuales 48 metros son cubiertos y 4,39 metros corresponden al balcón con expansión.
El departamento se compone de un estar comedor amplio y luminoso, con cocina semi-integrada y salida al balcón.
Dispone de dos dormitorios y baño completo.
El edificio se destaca por su diseño moderno, su calidad constructiva y su ubicación privilegiada, a pocos metros del centro y con excelente conectividad.
Una propuesta ideal para quienes buscan comodidad, practicidad y una inversión segura.",departamento,USD 88.000,,Venta,Buenos Aires 459,Rafaela,Rafaela,Santa Fe,"456,0","53,0",2,,,"Agua, Cable, Cloaca, Electricidad, Gas natural, Internet, Pavimento, Teléfono, Balcón, Cocina, Comedor, Toilette, Ascensor","https://cdn.21online.lat/argentina/cache/awsTest1/rc/HTskOXT2/uploads/49/propiedades/271990/6893af254ccc7.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/vgXYz97f/uploads/49/propiedades/271990/6893af26de1cf.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/JyBVtMrE/uploads/49/propiedades/271990/6893af28623a6.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/hPsJKSDW/uploads/49/propiedades/271990/6893af2a0359a.jpg",+5493492529529,https://cdn.21online.lat/argentina/cache/awsTest1/rc/ya9hN4yZ/uploads/49/logos/logoTBAr.png
https://century21.com.ar/propiedad/271531_casa-en-venta-2-domitorios-pileta-en-ibarlucea,"Casa en Venta – Oportunidad con Amplio Terreno y Equipamiento

Se ofrece a la venta una propiedad ubicada sobre calle  4  N° 1909, a metros de la Ruta Nacional 34. Implantada sobre un terreno de 300 m² (10 x 30), con una superficie construida aproximada de 120 m². Ideal para quienes buscan espacio, comodidad y funcionalidad.

Características principales:

2 dormitorios

1 toilette interior,  Baño completo

1 baño exterior completo

Cocina, comedor y estar integrados

Techo de losa (apto para ampliar)

Pisos cerámicos en todos los ambientes

Aberturas de aluminio

Calefón solar

Salamandra Thormenn  instalada

Horno empotrado

Galería o espacio cubierto multiuso

Cochera para 4 vehículos (3 bajo techo)

Galpón/taller con múltiples usos

Pileta de 6 x 3 m, con 1,30 m de profundidad con equipo completo de filtrado.

Aires acondicionados instalados.

Terreno nivelado y en muy buen estado

La propiedad cuenta con una distribución funcional, ambientes amplios y buena iluminación natural. Espacio ideal tanto para vivienda permanente como para emprendimiento familiar o profesional.

Consultas y visitas disponibles con cita previa.",casa,USD 72.000,2010,Venta,calle 4 1909,Ibarlucea,Ibarlucea,Santa Fe,"300,0","151,0",2,1,4,"Acepta Mascotas, Cable, Electricidad, Internet, Cocina, Comedor, Lavadero, Living, Patio, Toilette, Aire Acondicionado individual, Alarma, Apto credito, Calefacción, Calefacción individual, Calefacción por aire, Deck, Parrilla, Piscina, Quincho, Tenemos Llaves","https://cdn.21online.lat/argentina/cache/awsTest1/rc/P0Lg8hm0/uploads/80/propiedades/271531/6892486c0d67a.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/4JtCBbjJ/uploads/80/propiedades/271531/6892486de0856.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/KIP79WdZ/uploads/80/propiedades/271531/6892486fe7051.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/TGlqVSEf/uploads/80/propiedades/271531/6892488077120.jpg",+5493416442895,https://cdn.21online.lat/argentina/cache/awsTest1/rc/TEhnp3h3/uploads/80/logos/logoTBAr.png
https://century21.com.ar/propiedad/273037_venta-casa-2-dormitorios-excelente-esquina-de-funes,"Casa en esquina excepcional en Funes 

Ubicada en la mejor zona de Funes, esta propiedad de dos plantas ofrece un gran potencial para transformarla en la casa de tus sueños. 
 En planta baja cuenta con cocina separada, living comedor con hogar a leña y baño completo, además de un garage independiente. En planta alta dispone de un toilette, dos habitaciones, vestidor y salida a una amplia terraza con vista a la ""Plaza de los Solares"".
 La construcción se encuentra a reciclar, ideal para quienes buscan personalizar su porpiedad en una ubicación única.

- Ubicación privilegiada: esquina única, cercana a serevicios, comercios y con excelente conectividad.
- Potencial ilimitado: espacio, luz y proyección para una reforma integral.",casa,USD 98.000,2005,Venta,Solares del Rosario 74,Funes,Funes,Santa Fe,"375,0","138,0",2,1,1,"Acepta Mascotas, Agua, Cloaca, Electricidad, Cocina, Comedor, Living comedor, Patio, Toilette, Vestidor, Cochera, Luminoso, Terraza","https://cdn.21online.lat/argentina/cache/awsTest1/rc/v7xgeifk/uploads/68/propiedades/273037/689a48d287fce.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/bt4akgHU/uploads/68/propiedades/273037/689a492b6ad38.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/3tTtfPyu/uploads/68/propiedades/273037/689a4863c9183.jpg, https://cdn.21online.lat/argentina/cache/awsTest1/rc/7vuFGYo2/uploads/68/propiedades/273037/689a48791a130.jpg",+5493417657070,https://cdn.21online.lat/argentina/cache/awsTest1/rc/uSZQplYH/uploads/68/logos/logoTBAr.png
